passion,intro_video,blurb,mini_project,mini_project_link,summary,project,notes,abbreviation,field,subfield_1,subfield_2,primary_subcategory,secondary_subcategory,keywords,user_ids
Spanish,https://www.youtube.com/watch?v=6KwxK1MCMbo,"With hundreds of millions of native speakers, Spanish is one of the most widely spoken languages in the world. It is by far the second most common language in the United States, making it very useful for Americans to learn, especially those in the Southwest.",You can practice your Spanish pronunciation using the following video.,https://www.youtube.com/watch?v=QhSsFMmbACk,"If you are over 13 and have an email address, you can begin learning Spanish through Duolingo.com. Try completing at least five practice modules on the website.",https://www.duolingo.com/,,,Creative,Languages,,,,,
Turkish,https://www.youtube.com/watch?v=mkWS9Gb2fZA,"Turkish uses a form of the Latin alphabet, but has several distinctions from a language like English, such as subject-verb syntax and the importance placed on honorifics. It is spoken by several million people primarily concentrated in Eastern Europe and Western Asia.",Learn how sounds in the Turkish language differ from sounds in English.,http://mylanguages.org/turkish_alphabet.php,"If you are over 13 and have an email address, you can begin learning Turkish through Duolingo.com. Try completing at least five practice modules on the website.",https://www.duolingo.com/,,,Creative,Languages,,,,,
Yiddish,https://www.youtube.com/watch?v=gOdk_yx_D_0,"Yiddish is considered a Germanic language, but it incorporates words from Hebrew and several other languages. It is the historical language of Ashkenazi Jews and continues to be practiced sporadically throughout the Jewish world.",Yiddish is not a widely practiced language. Write a short description of why you are interested in learning Yiddish. You may use the mini-project link to help develop your ideas.,http://yiddishacademy.com/,"Practice Yiddish using the following link. You can learn some elementary words and numbers. Once you feel comfortable, you may begin learning about grammar. At any stage of learning Yiddish, you should check out the Yiddish proverbs!",http://www.surfacelanguages.com/language/Yiddish,(not a great intro video),,Creative,Languages,,,,,
ASL,https://www.youtube.com/watch?v=tkMg8g8vVUo,"American Sign Language (ASL) is a popular second language that is predominantly used to allow people to communicate with and within deaf communities in North America, West Africa, and Southeast Asia","After watching the introductory video, try memorizing the ASL alphabet and learn how to spell your name using it.",https://www.youtube.com/watch?v=tkMg8g8vVUo,"Once you've mastered the alphabet, try learning 100 basic signs to get started in ASL.",http://www.lifeprint.com/asl101/pages-layout/concepts.htm,,,Creative,Languages,,,,,
Cinema Studies,https://www.youtube.com/watch?v=EjNd3-6L4qg,"Cinema Studies (also known as film studies) explores the relationship between movies and their social, political, and economic contexts. It also examines how movie-making allows unique forms of storytelling.",Read through this article on basic film techniques. You may have recognized many of these techniques in the films you have watched. Think about how they're using in the media you've seen and how that correlates with the effect stated in the article.,http://www.oma.on.ca/en/contestpages/resources/free-report-cinematography.pdf,"Most of the time, we watch movies simply to enjoy them. However, if we begin to consider the film in all of its contexts, we may end up appreciating it much more. By researching a movie that you already like very much, you can find how enjoying movies and studying them are very different, but are both enjoyable.","Think about your favorite movie. Search the internet for contextual information (information that tells more about how the movie fits into a particular time and place) such as where it was made, when it was made, who directed it, who wrote it, and if there are any deeper meanings within the plot. Watch the movie again while taking notes about how all the things you researched appear in the movie itself. A general website like wikipedia.org may be a good place to begin your research.",(a little advanced),,Creative,"Stage, Film, Music, and Literature",,,,,
Comparative Literature,https://www.youtube.com/watch?v=oabspEB7nPw ,"Sometimes called World or Global Literature, Comparative Literature is the study of international cultural expression. Despite the name, comparative literature can also examine the relationship between literature and other forms of media such as film, or other academic discipliens such as history or philosophy.","Find up to three examples of books you have read that were not originally written in your spoken language. If you can't find three, you may also use books that have been written in your language, but in another country. You can use a website like goodreads to get started. Think about how these novels have been different from novels written in your country. This can include the style of writing, the organization of the plot, or the social, political, economic, or philosophical landscape in the story.",https://www.goodreads.com/shelf/show/foreign-literature,"The mini-project will get you thinking about comparative literature in a context relevant to your life. Now, you may use the project to show how comparative literature can be used to analyze international culture.",Choose one of the books you identified in the mini-project and write a short essay (two pages or less) on why the text deserves to be read in a comparative literature course. You can use any of the topics discussed in the mini-project to explain the book's cultural significance.,(until 1 min 30 sec),,Creative,"Stage, Film, Music, and Literature",,,,,
English,https://youtu.be/KEpqmTPZfLA ,English studies includes the study of English literature and well as English linguistics,A close reading is an extensive analysis of a passage of prose or poetry. Your mini-project will be to learn more about the process of close reading in order to prepare yourself to perform one. You may use the provided link to get started.,http://writingcenter.fas.harvard.edu/pages/how-do-close-reading,"Once you understand how a close reading should be down, try performing one with a passage from one of your favorite books. Alternatively, you can use the link provided to browse through close reading lesson plans at your level of education.",http://www.webenglishteacher.com/close-reading-lesson-plans.html,(about the first 4 min 30 sec),,Creative,"Stage, Film, Music, and Literature",,,,,
Folklore,https://www.youtube.com/watch?v=It13avJ_ZVw,"According to the American Folklore Society, ""[f]olklore is the traditional art, literature, knowledge, and practice that is disseminated largely through oral communication and behavioral example."" Those who study folklore are interested in the idea of societal expression and tradition, in formal or informal interactions.",Describe a folk group and one or more of its customs.  What genres of folklore appear in this group’s repertoire?  Who are the people who perform this folklore?  What are the occasions for folklore performance?  Interpret the meaning or meanings of the tradition to the people who maintain it.,http://faculty.washington.edu/guntiss/SCAND230/assignments.htm,Folklore is often misappropriately thought to only apply to past cultures. You may use the mini-project or the project to analyze more contemporary examples of folklore.,"Collect a story (folktale, legend, joke, anecdote, personal experience narrative) or a folk poem.  Transcribe the text, as close as possible to the words you heard (if possible, work with a tape recorder).  Describe the context (who performed it, to whom, where, when, why).  Have you heard variants?",,,Creative,"Stage, Film, Music, and Literature",,,,,
Music,,"Music theory studies how concepts of music translate to how music is created. This includes learning how factors like meter, rhythm, and time signatures contribute to the production of music. ",Complete the video series on the basics of music.,https://www.khanacademy.org/humanities/music/music-basics-notes-rhythm-music,This video series is designed for someone who is just being introduced to music. It covers the basics of how music is understood and how it is created.,http://www.musictheoryvideos.com/,"(I wasn't able to find a good, short video about music theory that would be accessible to students. The mini-project is pretty introductory though)",,Creative,"Stage, Film, Music, and Literature",,,,,
Theater,http://novaonline.nvcc.edu/eli/spd130et/whystudytheatre.htm,Those who study theater are interested in how theatrical performances relate to their social and historical contexts.,"Try reading some critiques of theatrical plays. This will help you understand what experts are interested in when analyzing theater. The link contains a couple basic examples of theater critiques, as well as tips of writing reviews. You are encouraged to find more. Publications such as the New York Times and the Chicago Tribune regularly publish theater reviews.",http://www.wikihow.com/Write-a-Play-Review,"Now that you've read a critique of theater, you can try writing one! You can use either a written play that you've read, or a dramatic performance you've watched. You may use the Project link for tips on how to get started.",http://writing2.richmond.edu/writing/wweb/dance/theatreguide.html (written) https://writing.wisc.edu/Handbook/PlayReview.html (performed),(couldn't find an appropriate video),,Creative,"Stage, Film, Music, and Literature",,,,,
Bioengineering,https://www.youtube.com/watch?v=lNIowx4ttG0,"Biological Engineering or bioengineering (including biological systems engineering) is the application of concepts and methods of biology (and secondarily of physics, chemistry, mathematics, and computer science) to solve real-world problems related to the life sciences or the application thereof, using engineering's own analytical and synthetic methodologies and also its traditional sensitivity to the cost and practicality of the solution(s) arrived at. ",Design a Device to Separate Mixtures,http://www.sciencebuddies.org/science-fair-projects/project_ideas/BioChem_p046.shtml,"Here, Cadets will learn the mechanisms by which antifungal medications work, and compare the effectiveness of different ones",http://www.sciencebuddies.org/science-fair-projects/project_ideas/BioMed_p012.shtml,,,STEM,Engineering,,,,,
,,,,,Learn about how muscles work and get tired through an EMG-based lab,https://backyardbrains.com/experiments/fatigue,,,STEM,Engineering,,,,,
Chemical and Biomolecular Engineering,https://www.youtube.com/watch?v=L0xMzg2dHT8,"Chemical engineering is a branch of engineering that applies physical sciences (e.g. chemistry and physics) and life sciences (e.g. biology, microbiology and biochemistry) together with mathematics and economics to produce, transform, transport, and properly use chemicals, materials and energy. Biomolecular engineering is the application of engineering principles and practices to the purposeful manipulation of molecules of biological origin. Biomolecular engineers integrate knowledge of biological processes with the core knowledge of chemical engineering in order to focus on molecular level solutions to issues and problems in the life sciences related to the environment, agriculture, energy, industry, food production, biotechnology and medicine.",Design Your Own Silly Putty,http://www.sciencebuddies.org/science-fair-projects/project_ideas/Chem_p012.shtml,"Through the project, students should learn about energy conversion, solar cells, and renewable energy",http://teachers.egfi-k12.org/berry-organic-solar-energy/,,,STEM,Engineering,,,,,
Computer Science,https://www.youtube.com/watch?v=U0luqHYa0EI,"Computer science is the scientific and practical approach to computation and its applications. It is the systematic study of the feasibility, structure, expression, and mechanization of the methodical procedures (or algorithms) that underlie the acquisition, representation, processing, storage, communication of, and access to information, whether such information is encoded as bits in a computer memory or transcribed in genes and protein structures in a biological cell.",Teach a Computer to Draw Shapes,http://www.sciencebuddies.org/science-fair-projects/project_ideas/CompSci_p035.shtml,Cadets will learn to create their own animations using nothing but a plain-text editor and a Web browser,http://www.sciencebuddies.org/science-fair-projects/project_ideas/CompSci_p012.shtml#summary,,,STEM,Engineering,,,,,
Electrical Engineering,https://www.youtube.com/watch?v=YR6W1NhVOU0,"Electrical engineering is a field of engineering that generally deals with the study and application of electricity, electronics, and electromagnetism. Electrical engineering has now subdivided into a wide range of subfields including electronics, digital computers, power engineering, telecommunications, control systems, radio-frequency engineering, signal processing, instrumentation, and microelectronics. ",Cadets will learn how digital data is stored and use magnets to store their own data,http://www.sciencebuddies.org/science-fair-projects/project_ideas/Elec_p026.shtml#summary,"Cadets will build their own (AM) crystal radio, learning about radio transmission and EM signals in the process.",http://www.sciencebuddies.org/science-fair-projects/project-ideas/Elec_p014/electricity-electronics/crystal-radio,,,STEM,Engineering,,,,,
,,,,,,"http://www.electronicshub.org/top-electrical-mini-projects/
http://miniscienceprojects.blogspot.com",,,STEM,Engineering,,,,,
System Engineering,https://www.youtube.com/watch?v=m3L9bEAha1I,Systems engineering is an interdisciplinary field of engineering that focuses on how to design and manage complex engineering systems over their life cycles. ,,,,,,,STEM,Engineering,,,,,
Integrated Product Design,https://www.youtube.com/watch?v=5eYVKNX37lk,"Integrated Priduct Design merge the disciplines of design, engineering and business for the purpose of creating compelling new products and experiences. ",Slip Rings Redesign,https://www.behance.net/gallery/21859247/Mini-Project,,,,,STEM,Engineering,,,,,
Mechanical Engineering,https://www.youtube.com/watch?v=fHvA3ihu7AI,"Mechanical engineering is the discipline that applies the principles of engineering, physics, and materials science for the design, analysis, manufacturing, and maintenance of mechanical systems. It is the branch of engineering that involves the design, production, and operation of machinery. It is one of the oldest and broadest of the engineering disciplines.",DIY Air Conditioner,https://www.youtube.com/watch?v=viVyJVQxgZs,,https://www.youtube.com/watch?v=jMwrkB4JQ4M,,,STEM,Engineering,,,,,
Materials Science and Engineering,https://www.youtube.com/watch?v=RAOHLGa4psk,"Materials science, also commonly known as materials science and engineering, is an interdisciplinary field which deals with the discovery and design of new materials.",,,,,,,STEM,Engineering,,,,,
Biochemistry,https://www.youtube.com/watch?v=tpBAmzQ_pUE,"As the name indicates, biochemistry is a hybrid science: Biology is the science of living organisms and chemistry is the science of atoms and molecules, so biochemistry is the science of the atoms and molecules in living organisms. Its domain encompasses all the living world with the unifying interest in the chemical structures and reactions that occur in living systems. ",CO2 and Photosynthesis,http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=87,,http://www.sciencefairadventure.com/BioChemistry.aspx,,,STEM,Life Sciences,,,,,
Biological Basis of Behavior,,,,,,,,,STEM,Life Sciences,,,,,
Biology,https://www.youtube.com/watch?v=7L7x0BAqWis,"Biology is a natural science concerned with the study of life and living organisms, including their structure, function, growth, evolution, distribution, and taxonomy.",Dehydrated Potato,http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=230,,http://www.sciencefairadventure.com/Biology.aspx,,,STEM,Life Sciences,,,,,
Biomedical Studies,,,,,,,,,STEM,Life Sciences,,,,,
Biophysics,https://www.youtube.com/watch?v=V20prBPihF4,"Biophysics is an interdisciplinary science using methods of, and theories from, physics to study biological systems. Biophysics spans all scales of biological organization, from the molecular scale to whole organisms and ecosystems. Biophysical research shares significant overlap with biochemistry, nanotechnology, bioengineering, computational biology and (complex) systems biology. It has been suggested as a bridge between biology and physics.",,,,,,,STEM,Life Sciences,,,,,
Cell and Molecular Biology,,,,,,,,,STEM,Life Sciences,,,,,
Epidemiology,https://www.youtube.com/watch?v=X4KAsbL34p8,"Epidemiology is the science that studies the patterns, causes, and effects of health and disease conditions in defined populations. It is the cornerstone of public health, and informs policy decisions and evidence-based practice by identifying risk factors for disease and targets for preventive healthcare. ",,,,,,,STEM,Life Sciences,,,,,
Genomics and Computational Biology,,,,,,,,,STEM,Life Sciences,,,,,
Immunology,https://www.youtube.com/watch?v=G82VHgJrXyk,"Immunology is a branch of biomedical science that covers the study of all aspects of the immune system in all organisms.[1] It deals with the physiological functioning of the immune system in states of both health and diseases; malfunctions of the immune system in immunological disorders (autoimmune diseases, hypersensitivities, immune deficiency, transplant rejection); the physical, chemical and physiological characteristics of the components of the immune system in vitro, in situ and in vivo.",Oral Bacteria,http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=127,,http://www.sciencefairadventure.com/MedicineAndHealth.aspx,,,STEM,Life Sciences,,,,,
Neurological Studies,https://www.youtube.com/watch?v=iiHSOhJvKQE,"Neurology (from Greek: νεῦρον, neuron, and the suffix -λογία -logia ""study of"") is a branch of medicine dealing with disorders of the nervous system. Neurology deals with the diagnosis and treatment of all categories of conditions and disease involving the central and peripheral nervous system (and its subdivisions, the autonomic nervous system and the somatic nervous system); including their coverings, blood vessels, and all effector tissue, such as muscle.[1] Neurological practice relies heavily on the field of neuroscience, which is the scientific study of the nervous system.",Blind Spot in Vision,http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=78,,http://www.sciencefairadventure.com/MedicineAndHealth.aspx,,,STEM,Life Sciences,,,,,
Nursing,https://www.youtube.com/watch?v=yygBtuk56P4,"Nursing is a profession within the health care sector focused on the care of individuals, families, and communities so they may attain, maintain, or recover optimal health and quality of life.",Corrosiveness of Soda,http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=106,,http://www.sciencefairadventure.com/MedicineAndHealth.aspx,,,STEM,Life Sciences,,,,,
Pharmacology,https://www.youtube.com/watch?v=jN34FZJ_--U,"Pharmacology (from Greek φάρμακον, pharmakon, ""poison"" in classic Greek; ""drug"" in modern Greek; and -λογία, -logia ""study of"", ""knowledge of"") is the branch of medicine and biology concerned with the study of drug action,[1] where a drug can be broadly defined as any man-made, natural, or endogenous (within the body) molecule which exerts a biochemical and/or physiological effect on the cell, tissue, organ, or organism (sometimes the word pharmacon is used as a term to encompass these endogenous and exogenous bioactive species).",Rubber Bones,http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=223,,http://www.sciencefairadventure.com/MedicineAndHealth.aspx,,,STEM,Life Sciences,,,,,
Psychology,https://www.youtube.com/watch?v=vo4pMVb0R6M,Psychology is the study of mind and behavior.[1][2] It is an academic discipline and an applied science which seeks to understand individuals and groups by establishing general principles and researching specific cases.,Learning and Color Experiment,http://psychology.about.com/od/psychologyexperiments/a/color-learning.htm,,http://psychology.about.com/od/psychologyexperiments/a/color-learning.htm,,,STEM,Life Sciences,,,,,
Applied Mathematics & Logical Science,,,,,,,,,STEM,Math & Logic,,,,,
Biostatistics,,,,,,,,,STEM,Math & Logic,,,,,
Engineering Mathematics,,,,,,,,,STEM,Math & Logic,,,,,
"Logic, Information, and Computing",https://d1a2y8pfnfh44t.cloudfront.net/vk4xLZv1V2w/full/540p/index.mp4,Computational logic is the use of logic to perform or reason about computation. It bears a similar relationship to computer science and engineering as mathematical logic bears to mathematics and as philosophical logic bears to philosophy.,Checking vs. Savings,http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=109,,http://www.sciencefairadventure.com/Mathematics.aspx,,,STEM,Math & Logic,,,,,
Mathematics,https://www.youtube.com/watch?v=aYIv4jggQJc,"Mathematics (from Greek μάθημα máthēma, “knowledge, study, learning”) is the study of topics such as quantity (numbers), structure, space, and change. There is a range of views among mathematicians and philosophers as to the exact scope and definition of mathematics.","Mean, Median and Range",http://www.sciencefairadventure.com/ProjectDetail.aspx?ProjectID=105,,http://www.sciencefairadventure.com/Mathematics.aspx,,,STEM,Math & Logic,,,,,
Cognitive Science,"https://d1a2y8pfnfh44t.cloudfront.net/0xCRl54AjX0/full/540p/index.mp4 
https://www.youtube.com/watch?v=C9WWEHJs4q4","Cognitive science is the interdisciplinary scientific study of the mind and its processes. It examines what cognition is, what it does and how it works. ",,,,,,,STEM,Math & Logic,,,,,
Anatomy,https://www.youtube.com/watch?v=TK-dxtvDC9k,Anatomy is the branch of biology concerned with the study of the structure of organisms and their parts;[1] it is mainly divided into zootomy and phytotomy.,Learn  Skeletal System,https://prezi.com/tc15ya0vyb5y/anatomy-mini-project/,,,,,STEM,Natural Sciences,,,,,
Astronomy,"https://www.youtube.com/watch?v=D8zZZZzppIM
https://d1a2y8pfnfh44t.cloudfront.net/lOmXPQtQzC8/full/540p/index.mp4","Astronomy is a natural science which is the study of celestial objects (such as stars, galaxies, planets, moons, asteroids, comets and nebulae), the physics, chemistry, and evolution of such objects, and phenomena that originate outside the atmosphere of Earth, including supernovae explosions, gamma ray bursts, and cosmic microwave background radiation.",Learn Earth Movement,https://prezi.com/mxm1okv2rb2f/astronomy-mini-project/,,http://www.skyandtelescope.com/observing/astronomy-stargazing-projects/,,,STEM,Natural Sciences,,,,,
